State,KodPAR,const_name,won_coallition,winlose,total_voters,voters
Perak,71,Gopeng,Pakatan Harapan,win,99167,"99,167"
Johor,163,Kulai,Pakatan Harapan,win,99147,"99,147"
Johor,150,Batu Pahat,Pakatan Harapan,win,98543,"98,543"
Kedah,10,Kuala Kedah,Pakatan Harapan,win,97753,"97,753"
Johor,152,Kluang,Pakatan Harapan,win,96915,"96,915"
Selangor,103,Puchong,Pakatan Harapan,win,96437,"96,437"
Kelantan,25,Bachok,PAS,win,92606,"92,606"
Selangor,99,Ampang,Pakatan Harapan,win,91737,"91,737"
Pulau Pinang,51,Bukit Gelugor,Pakatan Harapan,win,91595,"91,595"
Perak,64,Ipoh Timor,Pakatan Harapan,win,91486,"91,486"
Pulau Pinang,52,Bayan Baru,Pakatan Harapan,win,90780,"90,780"
Perak,60,Taiping,Pakatan Harapan,win,90729,"90,729"
Selangor,107,Sungai Buloh,Pakatan Harapan,win,90707,"90,707"
Terengganu,39,Dungun,PAS,win,90506,"90,506"
Melaka,137,Hang Tuah Jaya,Pakatan Harapan,win,89364,"89,364"
Pulau Pinang,45,Bukit Mertajam,Pakatan Harapan,win,88998,"88,998"
Pahang,85,Pekan,Barisan Nasional,win,88899,"88,899"
Kelantan,21,Kota Bharu,PAS,win,88708,"88,708"
W.P. Kuala Lumpur,116,Wangsa Maju,Pakatan Harapan,win,88482,"88,482"
Negeri Sembilan,131,Rembau,Barisan Nasional,win,88365,"88,365"
Kedah,14,Merbok,Pakatan Harapan,win,87782,"87,782"
Kedah,8,Pokok Sena,Pakatan Harapan,win,86892,"86,892"
Terengganu,33,Besut,Barisan Nasional,win,86627,"86,627"
W.P. Kuala Lumpur,122,Seputeh,Pakatan Harapan,win,86256,"86,256"
Terengganu,34,Setiu,PAS,win,86247,"86,247"
Kelantan,28,Pasir Puteh,PAS,win,85411,"85,411"
Perak,65,Ipoh Barat,Pakatan Harapan,win,84874,"84,874"
Kedah,17,Padang Serai,Pakatan Harapan,win,84834,"84,834"
Terengganu,35,Kuala Nerus,PAS,win,83663,"83,663"
W.P. Kuala Lumpur,124,Bandar Tun Razak,Pakatan Harapan,win,83650,"83,650"
Melaka,136,Tangga Batu,Pakatan Harapan,win,83213,"83,213"
Kelantan,24,Kubang Kerian,PAS,win,82018,"82,018"
Sarawak,195,Bandar Kuching,Pakatan Harapan,win,81856,"81,856"
Pulau Pinang,44,Permatang Pauh,Pakatan Harapan,win,81789,"81,789"
Perak,66,Batu Gajah,Pakatan Harapan,win,81399,"81,399"
Sarawak,219,Miri,Pakatan Harapan,win,80386,"80,386"
W.P. Kuala Lumpur,121,Lembah Pantai,Pakatan Harapan,win,80346,"80,346"
Kedah,9,Alor Setar,Pakatan Harapan,win,80272,"80,272"
Kedah,12,Jerai,PAS,win,79976,"79,976"
Perak,68,Beruas,Pakatan Harapan,win,79794,"79,794"
W.P. Kuala Lumpur,123,Cheras,Pakatan Harapan,win,78819,"78,819"
W.P. Kuala Lumpur,117,Segambut,Pakatan Harapan,win,77956,"77,956"
Johor,144,Ledang,Pakatan Harapan,win,77474,"77,474"
Pahang,82,Indera Mahkota,Pakatan Harapan,win,77208,"77,208"
Pulau Pinang,50,Jelutong,Pakatan Harapan,win,76991,"76,991"
W.P. Kuala Lumpur,115,Batu,IND,win,76328,"76,328"
Kelantan,20,Pengkalan Chepa,PAS,win,75384,"75,384"
Negeri Sembilan,132,Port Dickson,Pakatan Harapan,win,75212,"75,212"
Pahang,88,Temerloh,Pakatan Harapan,win,75081,"75,081"
Pulau Pinang,48,Bukit Bendera,Pakatan Harapan,win,75069,"75,069"
Kedah,11,Pendang,PAS,win,74867,"74,867"
Sarawak,212,Sibu,Pakatan Harapan,win,74149,"74,149"
Johor,145,Bakri,Pakatan Harapan,win,73883,"73,883"
Kedah,6,Kubang Pasu,Pakatan Harapan,win,73881,"73,881"
Terengganu,38,Hulu Terengganu,Barisan Nasional,win,73487,"73,487"
Melaka,139,Jasin,Barisan Nasional,win,73432,"73,432"
Pulau Pinang,47,Nibong Tebal,Pakatan Harapan,win,73383,"73,383"
Kelantan,27,Tanah Merah,Barisan Nasional,win,73172,"73,172"
W.P. Kuala Lumpur,114,Kepong,Pakatan Harapan,win,72696,"72,696"
W.P. Kuala Lumpur,118,Setiawangsa,Pakatan Harapan,win,72136,"72,136"
Negeri Sembilan,127,Jempol,Barisan Nasional,win,72122,"72,122"
Pulau Pinang,43,Bagan,Pakatan Harapan,win,71583,"71,583"
Kelantan,22,Pasir Mas,PAS,win,71222,"71,222"
Melaka,135,Alor Gajah,Pakatan Harapan,win,70364,"70,364"
Kelantan,31,Kuala Krai,PAS,win,70348,"70,348"
Perak,59,Bukit Gantang,Barisan Nasional,win,69873,"69,873"
W.P. Kuala Lumpur,120,Bukit Bintang,Pakatan Harapan,win,69526,"69,526"
Perak,70,Kampar,Pakatan Harapan,win,69436,"69,436"
Selangor,96,Kuala Selangor,Pakatan Harapan,win,69397,"69,397"
Perak,77,Tanjong Malim,Pakatan Harapan,win,68468,"68,468"
Kelantan,29,Machang,Barisan Nasional,win,68387,"68,387"
Pahang,89,Bentong,Pakatan Harapan,win,67359,"67,359"
Perak,74,Lumut,Pakatan Harapan,win,67157,"67,157"
Kedah,18,Kulim-Bandar Baharu,Pakatan Harapan,win,66587,"66,587"
Perak,76,Teluk Intan,Pakatan Harapan,win,66487,"66,487"
Sarawak,196,Stampin,Pakatan Harapan,win,66240,"66,240"
Kelantan,23,Rantau Panjang,PAS,win,66115,"66,115"
Pulau Pinang,46,Batu Kawan,Pakatan Harapan,win,65394,"65,394"
Kelantan,26,Ketereh,Barisan Nasional,win,65238,"65,238"
Sarawak,217,Bintulu,Barisan Nasional,win,65049,"65,049"
Pahang,81,Jerantut,Barisan Nasional,win,63609,"63,609"
Pahang,83,Kuantan,Pakatan Harapan,win,62696,"62,696"
Sabah,171,Sepanggar,Pakatan Harapan,win,62415,"62,415"
Sarawak,211,Lanang,Pakatan Harapan,win,61973,"61,973"
Pahang,91,Rompin,Barisan Nasional,win,61918,"61,918"
W.P. Kuala Lumpur,119,Titiwangsa,Pakatan Harapan,win,61598,"61,598"
Sabah,188,Silam,Pakatan Harapan,win,60942,"60,942"
Pulau Pinang,42,Tasek Gelugor,Barisan Nasional,win,60850,"60,850"
Negeri Sembilan,133,Tampin,Pakatan Harapan,win,60765,"60,765"
Pulau Pinang,41,Kepala Batas,Barisan Nasional,win,60523,"60,523"
Sabah,190,Tawau,Pakatan Harapan,win,59919,"59,919"
Johor,147,Parit Sulong,Barisan Nasional,win,59609,"59,609"
