negeri_code,KodPAR,const_name,coallition,party,candidate_name,winlose,won_party,won_coallition,majority,votes,voted_voters,votes_pct,total_voters,turnout_rate,malay,chinese,indian,others,nonmuslim_bumi
Perlis,1,Padang Besar,PR,PAS,AZAMHARI MOHAMOOD,lose,UMNO,BN,7426,14047,36051,38.96,41974,85.89,86,9,1,4,0
Perlis,1,Padang Besar,BN,UMNO,ZAHIDI ZAINUL ABIDIN,win,UMNO,BN,7426,21473,36051,59.56,41974,85.89,86,9,1,4,0
Perlis,2,Kangar,PR,PAS,BAHARUDDIN AHMAD,lose,UMNO,BN,4037,19306,43309,44.58,51207,84.58,81,16,2,2,0
Perlis,2,Kangar,BN,UMNO,SHAHARUDDIN ISMAIL,win,UMNO,BN,4037,23343,43309,53.9,51207,84.58,81,16,2,2,0
Perlis,3,Arau,PR,PAS,HARON DIN,lose,UMNO,BN,1371,18005,38312,47,43876,87.32,87,8,2,3,0
Perlis,3,Arau,BN,UMNO,SHAHIDAN KASSIM,win,UMNO,BN,1371,19376,38312,50.57,43876,87.32,87,8,2,3,0
Perlis,3,Arau,IND,IND,ZAINUDIN YOM,lose,UMNO,BN,1371,406,38312,1.06,43876,87.32,87,8,2,3,0
Kedah,4,Langkawi,BN,UMNO,NAWAWI AHMAD,win,UMNO,BN,11861,21407,31877,67.16,37536,84.92,91,6,2,1,0
Kedah,4,Langkawi,PR,PKR,AHMAD ABDULLAH,lose,UMNO,BN,11861,9546,31877,29.95,37536,84.92,91,6,2,1,0
Kedah,4,Langkawi,IND,IND,MARINA TI HUSSEIN,lose,UMNO,BN,11861,180,31877,0.56,37536,84.92,91,6,2,1,0
Kedah,5,Jerlun,PR,PAS,ISMAIL SALLEH,lose,UMNO,BN,3270,20891,45782,45.63,52383,87.4,91,8,0,2,0
Kedah,5,Jerlun,BN,UMNO,OTHMAN AZIZ,win,UMNO,BN,3270,24161,45782,52.77,52383,87.4,91,8,0,2,0
Kedah,6,Kubang Pasu,PR,PAS,MOHD JAMAL NASIR,lose,UMNO,BN,10444,22890,57058,40.12,65550,87.05,85,9,4,1,0
Kedah,6,Kubang Pasu,BN,UMNO,MOHD JOHARI BAHARUM,win,UMNO,BN,10444,33334,57058,58.42,65550,87.05,85,9,4,1,0
Kedah,7,Padang Terap,PR,PAS,MOHD NASIR ZAKARIA,lose,UMNO,BN,4442,16212,37800,42.89,41960,90.09,92,1,0,6,0
Kedah,7,Padang Terap,IND,IND,MUHAMAD BAZLI ABDULLAH,lose,UMNO,BN,4442,243,37800,0.64,41960,90.09,92,1,0,6,0
Kedah,7,Padang Terap,BN,UMNO,MAHDZIR KHALID,win,UMNO,BN,4442,20654,37800,54.64,41960,90.09,92,1,0,6,0
