id,q,r,state,constituency,ge14_win_coallition,ge14_win_party,ge13_win_coallition,ge13_win_party,ge14_majority,ge14_majority_pct,ge13_majority,ge13_majority_pct,ge14_malay,ge13_malay,ge14_chinese,ge13_chinese,ge14_indian,ge13_indian,ge14_bp_sabah_muslim,ge14_bp_sabah_nonmuslim,ge14_bp_swk,ge14_orang_asli,ge14_others,ge13_others,ge14_total_electorate,ge13_total_electorate,ge14_total_vote_cast,ge13_total_vote_cast,ge14_turnout,ge13_turnout
P001,5,17,Perlis,Padang Besar,BN,UMNO,BN,UMNO,1438,3.86,7426,20.6,87,86,8,9,1,4,0,0,1,0,3,0,46096,41974,37280,36051,81,86
P002,5,16,Perlis,Kangar,PH,PKR,BN,UMNO,5603,12.32,4037,9.32,82,79,15,18,2,2,0,0,0,0,1,1,55938,51207,45486,43316,81,85
P003,6,17,Perlis,Arau,BN,UMNO,BN,UMNO,4856,12.05,1371,3.58,88,87,8,8,2,3,0,0,0,0,3,0,48187,43876,40290,38312,84,87
P004,3,16,Kedah,Langkawi,PH,PPBM,BN,UMNO,8893,25.31,11861,37.21,90,91,7,6,2,2,0,0,0,0,0,0,42697,37536,35131,31877,82,85
P005,6,16,Kedah,Jerlun,PH,PPBM,BN,UMNO,5866,13.13,3270,7.14,91,91,7,8,0,2,0,0,0,0,2,0,54132,52383,44660,45782,83,87
P006,7,16,Kedah,Kubang Pasu,PH,PPBM,BN,UMNO,13009,21.29,10444,18.3,86,85,9,9,3,4,0,0,0,0,1,0,73881,65550,61104,57058,83,87
P007,8,16,Kedah,Padang Terap,BN,UMNO,BN,UMNO,1099,2.76,4442,11.75,92,92,1,6,0,1,0,0,0,0,6,0,46644,41960,39777,37800,85,90
P008,9,14,Kedah,Pokok Sena,PH,AMANAH,PR,PAS,5558,7.76,3935,5.68,81,80,15,18,2,2,0,0,0,0,0,0,86892,80714,71619,69309,82,86
P009,8,15,Kedah,Alor Setar,PH,PKR,PR,PKR,15200,23.45,1873,3.25,64,61,32,34,4,5,0,0,0,0,0,0,80272,69009,64812,57712,81,84
P010,6,15,Kedah,Kuala Kedah,PH,PKR,PR,PKR,13481,16.79,4947,6.03,78,77,20,21,1,1,0,0,0,0,0,0,97753,95328,80278,82005,82,86
P011,7,15,Kedah,Pendang,PAS,PAS,BN,UMNO,5808,9.19,2638,4.22,89,88,5,6,1,6,0,0,0,0,6,0,74867,70135,63198,62451,84,89
P012,6,14,Kedah,Jerai,PAS,PAS,BN,UMNO,539,0.81,1196,1.85,80,79,14,15,6,6,0,0,0,0,0,0,79976,74410,66748,64614,83,87
P013,10,15,Kedah,Sik,PAS,PAS,BN,UMNO,5218,12.23,2807,6.68,93,93,1,5,0,2,0,0,0,0,5,0,50385,46786,42657,41992,85,90
P014,8,14,Kedah,Merbok,PH,PKR,BN,UMNO,10072,13.9,4122,5.55,69,65,15,17,15,17,0,0,0,0,0,0,87782,85908,72458,74294,83,86
P015,7,14,Kedah,Sungai Petani,PH,PKR,PR,PKR,21569,23.09,9548,11.82,61,59,27,29,12,12,0,0,0,0,0,0,112577,93176,93423,80771,83,87
P016,10,14,Kedah,Baling,BN,UMNO,BN,UMNO,1074,1.17,5185,6.25,89,89,4,5,5,5,0,0,0,0,1,0,107213,93168,91900,82914,86,89
P017,9,13,Kedah,Padang Serai,PH,PKR,PR,PKR,8813,12.43,8437,13.1,59,56,20,21,21,23,0,0,0,0,0,0,84834,74095,70911,64387,84,87
P018,9,12,Kedah,Kulim-Bandar Baharu,PH,PKR,BN,UMNO,4860,8.8,1871,3.56,69,68,18,19,13,13,0,0,0,0,0,0,66587,60910,55237,52532,83,86
P019,13,16,Kelantan,Tumpat,PAS,PAS,BN,UMNO,17500,19.89,10624,14.74,93,94,3,3,0,0,0,0,0,0,4,4,110924,98632,87987,72060,79,73
P020,14,16,Kelantan,Pengkalan Chepa,PAS,PAS,PR,PAS,13232,22.01,15120,27.59,98,98,1,2,0,0,0,0,0,0,0,0,75384,64409,60126,54797,80,85
P021,13,15,Kelantan,Kota Bharu,PAS,PAS,PR,PAS,5869,8.67,15970,24.17,84,83,14,16,1,1,0,0,0,0,0,0,88708,81268,67658,66084,76,81
P022,13,14,Kelantan,Pasir Mas,PAS,PAS,PR,PAS,13075,23.87,8047,13.43,98,96,2,3,0,0,0,0,0,0,0,0,71222,71965,54783,59930,77,83
P023,12,16,Kelantan,Rantau Panjang,PAS,PAS,PR,PAS,6150,12.5,6276,15.01,97,98,2,1,0,0,0,0,0,0,1,1,66115,52903,49198,41804,74,79
P024,14,15,Kelantan,Kubang Kerian,PAS,PAS,PR,PAS,19369,30.19,16741,30.5,98,98,2,2,0,0,0,0,0,0,0,0,82018,65390,64163,54884,78,84
P025,15,15,Kelantan,Bachok,PAS,PAS,PR,PAS,3292,4.38,201,0.28,98,98,1,1,0,0,0,0,0,0,0,0,92606,81566,75112,71584,81,88
P026,13,13,Kelantan,Ketereh,BN,UMNO,BN,UMNO,4626,8.58,974,1.81,97,97,2,2,0,0,0,0,1,0,0,1,65238,62217,53888,53726,83,86
P027,13,12,Kelantan,Tanah Merah,BN,UMNO,BN,UMNO,2929,4.96,4227,8.48,95,94,4,4,1,1,0,0,0,0,1,1,73172,58237,59108,49872,81,86
P028,15,14,Kelantan,Pasir Puteh,PAS,PAS,PR,PAS,1360,1.97,1888,2.86,98,98,1,1,0,0,0,0,0,0,1,1,85411,76259,69073,66040,81,87
P029,14,14,Kelantan,Machang,BN,UMNO,BN,UMNO,2824,5.06,805,1.57,96,96,3,4,0,0,0,0,0,0,0,0,68387,59226,55824,51244,82,87
P030,12,15,Kelantan,Jeli,BN,UMNO,BN,UMNO,2824,7.21,5269,13.95,98,98,0,0,0,0,0,0,0,1,0,1,47470,43224,39161,37778,83,87
P031,14,13,Kelantan,Kuala Krai,PAS,PAS,PR,PAS,7992,14.31,2043,3.75,95,94,4,4,1,1,0,0,0,0,0,0,70348,63101,55848,54515,79,86
P032,14,12,Kelantan,Gua Musang,BN,UMNO,BN,UMNO,3913,9.57,8413,24.01,82,81,6,7,1,1,0,0,0,11,0,12,52524,40176,40884,35033,78,87
P033,16,14,Terengganu,Besut,BN,UMNO,BN,UMNO,4599,6.4,8342,13.29,98,98,1,1,0,0,0,0,0,0,0,0,86627,72566,71838,62763,83,86
P034,16,13,Terengganu,Setiu,PAS,PAS,BN,UMNO,2802,3.83,7943,13.43,99,99,0,0,0,0,0,0,0,0,0,0,86247,67280,73222,59138,85,88
P035,17,12,Terengganu,Kuala Nerus,PAS,PAS,PR,PAS,8447,11.6,610,0.9,99,99,1,1,0,0,0,0,0,0,0,0,83663,76238,72832,67884,87,89
P036,17,11,Terengganu,Kuala Terengganu,PAS,PAS,PR,PAS,14773,16.91,10785,13.17,90,89,9,10,1,1,0,0,0,0,0,0,103611,94406,87350,81898,84,87
P037,15,12,Terengganu,Marang,PAS,PAS,PR,PAS,21954,23.94,5124,6.28,98,98,2,2,0,0,0,0,0,0,0,0,104898,90795,91710,81649,87,90
P038,15,13,Terengganu,Hulu Terengganu,BN,UMNO,BN,UMNO,2868,4.54,8213,14.54,99,99,0,1,0,0,0,0,0,0,0,0,73487,63543,63217,56490,86,89
P039,16,12,Terengganu,Dungun,PAS,PAS,PR,PAS,13119,17.19,3942,5.79,96,96,3,4,0,0,0,0,0,0,0,0,90506,78174,76300,68047,84,87
P040,16,11,Terengganu,Kemaman,PAS,PAS,BN,UMNO,2163,2.36,12306,15.39,93,94,5,6,1,1,0,0,0,0,0,0,107593,91942,91630,79971,85,87
P041,7,13,Penang,Kepala Batas,BN,UMNO,BN,UMNO,4736,8.93,4176,8.95,79,76,17,19,4,4,0,0,0,0,0,0,60523,51635,53017,46665,88,90
P042,8,13,Penang,Tasek Gelugor,BN,UMNO,BN,UMNO,81,0.15,3042,6.34,78,77,15,15,7,8,0,0,0,0,0,0,60850,54042,52593,48009,86,89
P043,6,13,Penang,Bagan,PH,DAP,PR,DAP,43902,73.11,34159,57.18,13,14,71,70,15,15,0,0,0,0,0,0,71583,68503,60048,59735,84,87
P044,8,12,Penang,Permatang Pauh,PH,PKR,PR,PKR,15668,22.23,11721,18.51,72,69,21,25,6,6,0,0,0,0,0,0,81789,71699,70486,63332,86,88
P045,7,12,Penang,Bukit Mertajam,PH,DAP,PR,DAP,52877,69.76,43063,62.05,19,18,70,72,10,9,0,0,0,0,0,0,88998,78996,75800,69403,85,88
P046,6,12,Penang,Batu Kawan,PH,DAP,PR,DAP,33553,60.59,25962,51.78,21,20,56,56,23,24,0,0,0,0,0,0,65394,57500,55380,50139,85,87
P047,7,11,Penang,Nibong Tebal,PH,PKR,PR,PKR,15817,25.09,8598,16.37,48,45,35,38,17,17,0,0,0,0,0,0,73383,59345,63039,52538,86,89
P048,3,13,Penang,Bukit Bendera,PH,DAP,PR,DAP,40731,67.64,32778,55.54,15,14,73,74,11,11,9,0,0,0,1,1,75069,71085,60218,59019,80,83
P049,4,13,Penang,Tanjong,PH,DAP,PR,DAP,29599,73.86,28645,66.82,6,6,84,85,10,9,0,0,0,0,0,0,49586,51487,40074,42870,81,83
P050,4,12,Penang,Jelutong,PH,DAP,PR,DAP,38171,59.28,25750,41.91,23,20,65,68,12,11,0,0,0,0,0,0,76991,71247,64386,61441,84,86
