State,KodPAR,const_name,coallition,candidate_name,party,winlose,won_party,won_coallition,majority,votes,voted_voters,votes_pct,total_voters,turnout_rate,malay,chinese,indian,others,muslim_bumi,nonmuslim_bumi,sabah_bumi,early,postal
Perlis,1,Padang Besar,BN,Zahidi Zainul Abidin,BN,win,BN,BN,1438,15032,36500,41.18,46096,79.18,87,9,1,4,0,0,0,2466,10
Perlis,1,Padang Besar,PH,Izizam Ibrahim,PKR,lose,BN,BN,1438,13594,36500,37.24,46096,79.18,87,9,1,4,0,0,0,2466,10
Perlis,1,Padang Besar,GS,Mokhtar Senik,PAS,lose,BN,BN,1438,7874,36500,21.57,46096,79.18,87,9,1,4,0,0,0,2466,10
Perlis,2,Kangar,PH,Noor Amin Ahmad,PKR,win,PKR,PH,5603,20909,44680,46.8,55938,79.87,82,15,2,1,0,0,0,1166,11
Perlis,2,Kangar,BN,Ramli Shariff,BN,lose,PKR,PH,5603,15306,44680,34.26,55938,79.87,82,15,2,1,0,0,0,1166,11
Perlis,2,Kangar,GS,Mohamad Zahid Ibrahim,PAS,lose,PKR,PH,5603,8465,44680,18.95,55938,79.87,82,15,2,1,0,0,0,1166,11
Perlis,3,Arau,BN,Shahidan Kassim,BN,win,BN,BN,4856,16547,39600,41.79,48187,82.18,88,8,2,3,0,0,0,488,4
Perlis,3,Arau,PH,Abd Rahman Daud,PKR,lose,BN,BN,4856,11691,39600,29.52,48187,82.18,88,8,2,3,0,0,0,488,4
Perlis,3,Arau,GS,Hashim Jasin,PAS,lose,BN,BN,4856,11362,39600,28.69,48187,82.18,88,8,2,3,0,0,0,488,4
Kedah,4,Langkawi,PH,Mahathir Mohammad,PKR,win,PKR,PH,8893,18954,34527,54.9,42697,80.87,91,7,2,1,0,0,0,1588,3
Kedah,4,Langkawi,BN,Nawawi Ahmad,BN,lose,PKR,PH,8893,10061,34527,29.14,42697,80.87,91,7,2,1,0,0,0,1588,3
Kedah,4,Langkawi,GS,Zubir Ahmad,PAS,lose,PKR,PH,8893,5512,34527,15.96,42697,80.87,91,7,2,1,0,0,0,1588,3
Kedah,5,Jerlun,PH,Mukhriz Mahathir,PKR,win,PKR,PH,5866,18695,43937,42.55,54132,81.17,91,7,0,2,0,0,0,55,4
Kedah,5,Jerlun,GS,Abd Ghani Ahmad,PAS,lose,PKR,PH,5866,12829,43937,29.2,54132,81.17,91,7,0,2,0,0,0,55,4
Kedah,5,Jerlun,BN,Othman Aziz,BN,lose,PKR,PH,5866,12413,43937,28.25,54132,81.17,91,7,0,2,0,0,0,55,4
Kedah,6,Kubang Pasu,PH,Amiruddin Hamzah,PKR,win,PKR,PH,13009,29984,60334,49.7,73881,81.66,87,9,4,2,0,0,0,2650,18
Kedah,6,Kubang Pasu,BN,Mohd Johari Baharum,BN,lose,PKR,PH,13009,16975,60334,28.14,73881,81.66,87,9,4,2,0,0,0,2650,18
Kedah,6,Kubang Pasu,GS,Norhafiza Fadzil,PAS,lose,PKR,PH,13009,13375,60334,22.17,73881,81.66,87,9,4,2,0,0,0,2650,18
Kedah,7,Padang Terap,BN,Mahdzir Khalid,BN,win,BN,BN,1099,16384,38923,42.09,46644,83.45,92,1,0,6,0,0,0,248,5
Kedah,7,Padang Terap,GS,Mohamad Azam Abd Majid @ Abd Aziz,PAS,lose,BN,BN,1099,15285,38923,39.27,46644,83.45,92,1,0,6,0,0,0,248,5
Kedah,7,Padang Terap,PH,Mohd Khairizal Khazali,PKR,lose,BN,BN,1099,7254,38923,18.64,46644,83.45,92,1,0,6,0,0,0,248,5
Kedah,8,Pokok Sena,PH,Mahfuz Omar,PKR,win,PKR,PH,5558,28959,70750,40.93,86892,81.42,82,16,2,1,0,0,0,3283,21
Kedah,8,Pokok Sena,GS,Muhamad Radhi Mat Din,PAS,lose,PKR,PH,5558,23401,70750,33.08,86892,81.42,82,16,2,1,0,0,0,3283,21
Kedah,8,Pokok Sena,BN,Said Ali Said Rastan,BN,lose,PKR,PH,5558,18390,70750,25.99,86892,81.42,82,16,2,1,0,0,0,3283,21
Kedah,9,Alor Setar,PH,Chan Ming Kai,PKR,win,PKR,PH,15200,32475,63931,50.8,80272,79.64,64,32,4,0,0,0,0,696,26
Kedah,9,Alor Setar,GS,Muhammad Aminur Shafiq Mohamad Abduh,PAS,lose,PKR,PH,15200,17275,63931,27.02,80272,79.64,64,32,4,0,0,0,0,696,26
Kedah,9,Alor Setar,BN,Yoo Wei How,BN,lose,PKR,PH,15200,14181,63931,22.18,80272,79.64,64,32,4,0,0,0,0,696,26
Kedah,10,Kuala Kedah,PH,Azman Ismail,PKR,win,PKR,PH,13481,36624,79167,46.26,97753,80.99,78,20,1,0,0,0,0,69,14
Kedah,10,Kuala Kedah,GS,Muhammad Riduan Othman,PAS,lose,PKR,PH,13481,23143,79167,29.23,97753,80.99,78,20,1,0,0,0,0,69,14
Kedah,10,Kuala Kedah,BN,Abdullah Hasnan Kamaruddin,BN,lose,PKR,PH,13481,19400,79167,24.51,97753,80.99,78,20,1,0,0,0,0,69,14
Kedah,11,Pendang,GS,Awang Hashim,PAS,win,PAS,PAS,5808,26536,62246,42.63,74867,83.14,89,5,1,6,0,0,0,197,4
Kedah,11,Pendang,BN,Othman Abdul,BN,lose,PAS,PAS,5808,20728,62246,33.3,74867,83.14,89,5,1,6,0,0,0,197,4
Kedah,11,Pendang,PH,Wan Saifulruddin Wan Jan,PKR,lose,PAS,PAS,5808,14901,62246,23.94,74867,83.14,89,5,1,6,0,0,0,197,4
Kedah,11,Pendang,Others,Abdul Malik Manaf,IND,lose,PAS,PAS,5808,81,62246,0.13,74867,83.14,89,5,1,6,0,0,0,197,4
Kedah,12,Jerai,GS,Sabri Azit,PAS,win,PAS,PAS,539,22312,65736,33.94,79976,82.19,80,14,6,0,0,0,0,295,11
Kedah,12,Jerai,BN,Jamil Khir Baharom,BN,lose,PAS,PAS,539,21773,65736,33.12,79976,82.19,80,14,6,0,0,0,0,295,11
Kedah,12,Jerai,PH,Akramsyah Muammar Ubaidah Sanusi Junid,PKR,lose,PAS,PAS,539,21651,65736,32.94,79976,82.19,80,14,6,0,0,0,0,295,11
Kedah,13,Sik,GS,Ahmad Tarmizi Sulaiman,PAS,win,PAS,PAS,5218,20088,41928,47.91,50385,83.22,93,2,0,5,0,0,0,190,2
Kedah,13,Sik,BN,Mansor Abd Rahman,BN,lose,PAS,PAS,5218,14870,41928,35.47,50385,83.22,93,2,0,5,0,0,0,190,2
Kedah,13,Sik,PH,Azli Uda,PKR,lose,PAS,PAS,5218,6970,41928,16.62,50385,83.22,93,2,0,5,0,0,0,190,2
Kedah,14,Merbok,PH,Nor Azrina Surip,PKR,win,PKR,PH,10072,30902,71350,43.31,87782,81.28,69,15,15,1,0,0,0,5670,24
Kedah,14,Merbok,BN,Tajul Urus Mat Zain,BN,lose,PKR,PH,10072,20830,71350,29.19,87782,81.28,69,15,15,1,0,0,0,5670,24
Kedah,14,Merbok,GS,Ahmad Fauzi Ramli,PAS,lose,PKR,PH,10072,19618,71350,27.5,87782,81.28,69,15,15,1,0,0,0,5670,24
Kedah,15,Sungai Petani,PH,Johari Abdul,PKR,win,PKR,PH,21569,45532,92534,49.21,112577,82.2,61,27,12,1,0,0,0,157,22
Kedah,15,Sungai Petani,BN,Shahanim Mohamad Yusoff,BN,lose,PKR,PH,21569,23963,92534,25.9,112577,82.2,61,27,12,1,0,0,0,157,22
Kedah,15,Sungai Petani,GS,Shahril Long,PAS,lose,PKR,PH,21569,22760,92534,24.6,112577,82.2,61,27,12,1,0,0,0,157,22
Kedah,15,Sungai Petani,PRM,Sritharan Pichathu,PRM,lose,PKR,PH,21569,279,92534,0.3,112577,82.2,61,27,12,1,0,0,0,157,22
Kedah,16,Baling,BN,Abdul Azeez Abdul Rahim,BN,win,BN,BN,1074,38557,90512,42.6,107213,84.42,89,4,5,2,0,0,0,363,7
Kedah,16,Baling,GS,Hassan Saad,PAS,lose,BN,BN,1074,37483,90512,41.41,107213,84.42,89,4,5,2,0,0,0,363,7
Kedah,16,Baling,PH,Mohd Taufik Yaacob,PKR,lose,BN,BN,1074,14472,90512,15.99,107213,84.42,89,4,5,2,0,0,0,363,7
Kedah,17,Padang Serai,PH,Karupaiya Mutusami,PKR,win,PKR,PH,8813,31724,70084,45.27,84834,82.61,59,20,21,0,0,0,0,92,19
Kedah,17,Padang Serai,GS,Muhamad Sobri Osman,PAS,lose,PKR,PH,8813,22911,70084,32.69,84834,82.61,59,20,21,0,0,0,0,92,19
Kedah,17,Padang Serai,BN,Leong Yong Kong,BN,lose,PKR,PH,8813,15449,70084,22.04,84834,82.61,59,20,21,0,0,0,0,92,19
Kedah,18,Kulim-Bandar Baharu,PH,Saifuddin Nasution Ismail,PKR,win,PKR,PH,4860,23159,54343,42.62,66587,81.61,69,18,13,0,0,0,0,1759,10
Kedah,18,Kulim-Bandar Baharu,BN,Abd Aziz Sheikh Fadzir,BN,lose,PKR,PH,4860,18299,54343,33.67,66587,81.61,69,18,13,0,0,0,0,1759,10
Kedah,18,Kulim-Bandar Baharu,GS,Abdul Raman Abdul Razak,PAS,lose,PKR,PH,4860,12885,54343,23.71,66587,81.61,69,18,13,0,0,0,0,1759,10
Kelantan,19,Tumpat,GS,Che Abdullah Mat Nawi,PAS,win,PAS,PAS,17500,47041,86585,54.33,110924,78.06,93,3,0,4,0,0,0,421,17
Kelantan,19,Tumpat,BN,Wan Johani Wan Hussin,BN,lose,PAS,PAS,17500,29541,86585,34.12,110924,78.06,93,3,0,4,0,0,0,421,17
Kelantan,19,Tumpat,PH,Nordin Salleh,PKR,lose,PAS,PAS,17500,10003,86585,11.55,110924,78.06,93,3,0,4,0,0,0,421,17
Kelantan,20,Pengkalan Chepa,GS,Ahmad Marzuk Shaary,PAS,win,PAS,PAS,13232,32592,59387,54.88,75384,78.78,98,2,0,0,0,0,0,3121,23
