par_code,state,ge13_constituency,ge14_constituency,ge13_win_coallition,ge13_win_party,ge14_win_coallition,ge14_win_party,ge13_majority,ge13_majority_pct,ge14_majority,ge14_majority_pct,ge13_malay,ge14_malay,bn_ge13_vote,bn_rede_vote,bn_ge14_vote,bn_ge13_vote_pct,bn_rede_vote_pct,adjusted_rede_diff,bn_ge14_vote_pct,swing_vote,swing_pct,ge13_total_electorate,rede_total_electorate,ge14_total_electorate,ge13_tvv,rede_tvv,ge14_tvv,ge13_turnout,ge14_turnout
P001,Perlis,Padang Besar,Padang Besar,BN,UMNO,BN,UMNO,7426,20.6,1438,3.86,86,87,21473,21473,15032,60,60,0,41,-6441,-42.85,41974,41974,46096,35520,36051,36500,86,81
P002,Perlis,Kangar,Kangar,BN,UMNO,PH,PKR,4037,9.32,5603,12.32,79,82,23343,23343,15306,55,54,-1,34,-8037,-52.51,51207,51207,55938,42649,43316,44680,85,81
P003,Perlis,Arau,Arau,BN,UMNO,BN,UMNO,1371,3.58,4856,12.05,87,88,19376,19376,16547,51,51,0,42,-2829,-17.1,43876,43876,48187,37787,38312,39600,87,84
P004,Kedah,Langkawi,Langkawi,BN,UMNO,PH,PPBM,11861,37.21,8893,25.31,91,90,21407,21407,10061,69,69,0,29,-11346,-112.77,37536,37536,42697,31133,31133,34527,85,82
P005,Kedah,Jerlun,Jerlun,BN,UMNO,PH,PPBM,3270,7.14,5866,13.13,91,91,24161,24161,12413,54,54,0,28,-11748,-94.64,52383,52383,54132,45052,45052,43937,87,83
P006,Kedah,Kubang Pasu,Kubang Pasu,BN,UMNO,PH,PPBM,10444,18.3,13009,21.29,85,86,33334,33334,16975,59,59,0,28,-16359,-96.37,65550,65550,73881,56224,56224,60334,87,83
P007,Kedah,Padang Terap,Padang Terap,BN,UMNO,BN,UMNO,4442,11.75,1099,2.76,92,92,20654,20654,16384,56,56,0,42,-4270,-26.06,41960,41960,46644,37109,37109,38923,90,85
P008,Kedah,Pokok Sena,Pokok Sena,PR,PAS,PH,AMANAH,3935,5.68,5558,7.76,80,81,32263,31953,18390,47,47,0,26,-13563,-73.75,80714,79269,86892,68461,67354,70750,86,82
P009,Kedah,Alor Setar,Alor Setar,PR,PKR,PH,PKR,1873,3.25,15200,23.45,61,64,25491,27575,14181,45,45,0,22,-13394,-94.45,69009,74470,80272,56642,60993,63931,84,81
P010,Kedah,Kuala Kedah,Kuala Kedah,PR,PKR,PH,PKR,4947,6.03,13481,16.79,77,78,37923,36149,19400,47,47,0,25,-16749,-86.34,95328,91312,97753,80793,77549,79167,86,82
P011,Kedah,Pendang,Pendang,BN,UMNO,PAS,PAS,2638,4.22,5808,9.19,88,89,32165,32165,20728,52,52,0,33,-11437,-55.18,70135,70135,74867,61692,61692,62246,89,84
P012,Kedah,Jerai,Jerai,BN,UMNO,PAS,PAS,1196,1.85,539,0.81,79,80,32429,32429,21773,51,51,0,33,-10656,-48.94,74410,74410,79976,63662,63662,65736,87,83
P013,Kedah,Sik,Sik,BN,UMNO,PAS,PAS,2807,6.68,5218,12.23,93,93,22084,22084,14870,53,53,0,35,-7214,-48.51,46786,46786,50385,41361,41361,41928,90,85
P014,Kedah,Merbok,Merbok,BN,UMNO,PH,PKR,4122,5.55,10072,13.9,65,69,38538,35684,20830,53,54,1,29,-14854,-71.31,85908,77972,87782,72954,66354,71350,86,83
P015,Kedah,Sungai Petani,Sungai Petani,PR,PKR,PH,PKR,9548,11.82,21569,23.09,59,61,34646,37500,23963,43,43,0,26,-13537,-56.49,93176,101112,112577,79812,86412,92534,87,83
P016,Kedah,Baling,Baling,BN,UMNO,BN,UMNO,5185,6.25,1074,1.17,89,89,43504,43504,38557,53,53,0,43,-4947,-12.83,93168,93168,107213,81823,81823,90512,89,86
P017,Kedah,Padang Serai,Padang Serai,PR,PKR,PH,PKR,8437,13.1,8813,12.43,56,59,25714,25714,15449,41,41,0,22,-10265,-66.44,74095,74095,84834,63164,63164,70084,87,84
P018,Kedah,Kulim Bandar Baharu,Kulim-Bandar Baharu,BN,UMNO,PH,PKR,1871,3.56,4860,8.8,68,69,26782,26782,18299,52,52,0,34,-8483,-46.36,60910,60910,66587,51693,51693,54343,86,83
P019,Kelantan,Tumpat,Tumpat,BN,UMNO,PAS,PAS,10624,14.74,17500,19.89,94,93,35487,35487,29541,43,43,0,34,-5946,-20.13,98632,98632,110924,81678,81678,86585,73,79
P020,Kelantan,Pengkalan Chepa,Pengkalan Chepa,PR,PAS,PAS,PAS,15120,27.59,13232,22.01,98,98,19497,19644,19360,36,36,0,33,-284,-1.47,64409,65228,75384,54114,54802,59387,85,80
P021,Kelantan,Kota Bahru,Kota Bharu,PR,PAS,PAS,PAS,15970,24.17,5869,8.67,83,84,24650,24650,16256,38,38,0,24,-8394,-51.64,81268,81268,88708,65418,65418,66969,81,76
P022,Kelantan,Pasir Mas,Pasir Mas,PR,PAS,PAS,PAS,8047,13.43,13075,23.87,96,98,0,4524,15005,0,9,9,28,10481,69.85,71965,65136,71222,58815,52922,53551,83,77
P023,Kelantan,Rantau Panjang,Rantau Panjang,PR,PAS,PAS,PAS,6276,15.01,6150,12.5,98,97,17405,12881,18431,42,27,-15,38,5550,30.11,52903,59732,66115,41172,47065,48373,79,74
P024,Kelantan,Kubang Kerian,Kubang Kerian,PR,PAS,PAS,PAS,16741,30.5,19369,30.19,98,98,18769,20974,16251,35,35,0,26,-4723,-29.06,65390,71570,82018,54279,59518,63428,84,78
P025,Kelantan,Bachok,Bachok,PR,PAS,PAS,PAS,201,0.28,3292,4.38,98,98,35218,35218,32896,50,50,0,44,-2322,-7.06,81566,81566,92606,70637,70637,73964,88,81
P026,Kelantan,Ketereh,Ketereh,BN,UMNO,BN,UMNO,974,1.81,4626,8.58,97,97,26912,24560,25467,51,52,1,48,907,3.56,62217,55218,65238,52850,46923,53107,86,83
P027,Kelantan,Tanah Merah,Tanah Merah,BN,UMNO,BN,UMNO,4227,8.48,2929,4.96,94,95,26505,27098,28152,54,54,0,48,1054,3.74,58237,59446,73172,48996,50046,58122,86,81
P028,Kelantan,Pasir Puteh,Pasir Puteh,PR,PAS,PAS,PAS,1888,2.86,1360,1.97,98,98,31691,31691,30947,49,49,0,45,-744,-2.4,76259,76259,85411,65270,65270,68150,87,81
