KodPAR,state,const_name,total_voters,voted_voters,turnout_rate,majority,party_1,candidate_1,vote_1,percent_1,party_2,candidate_2,vote_2,percent_2,party_3,candidate_3,vote_3,percent_3,party_4,candidate_4,vote_4,percent_4,party_5,candidate_5,vote_5,percent_5,party_6,candidate_6,vote_6,percent_6
1,Perlis,Padang Besar,"46,096","36,500",79.18%,"1,438",BN,Zahidi Zainul Abidin,"15,032",,PH,Izizam Ibrahim,"13,594",,PAS,Mokhtar Senik,"7,874",,,,,,,,,,,,,
2,Perlis,Kangar,"55,938","44,680",79.87%,"5,603",BN,Ramli Shariff,"15,306",,PH,Noor Amin Ahmad,"20,909",,PAS,Mohamad Zahid Ibrahim,"8,465",,,,,,,,,,,,,
3,Perlis,Arau,"48,187","39,600",82.18%,"4,856",BN,Shahidan Kassim,,,PH,Abd Rahman Daud,,,PAS,Hashim Jasin,,,,,,,,,,,,,,
4,Kedah,Langkawi,"42,697","34,527",80.87%,"8,893",BN,Nawawi Ahmad,,,PH,Mahathir Mohammad,,,PAS,Zubir Ahmad,,,,,,,,,,,,,,
5,Kedah,Jerlun,"54,132","43,937",81.17%,"5,866",BN,Othman Aziz,,,PH,Mukhriz Mahathir,,,PAS,Abd Ghani Ahmad,,,,,,,,,,,,,,
6,Kedah,Kubang Pasu,"73,881","60,334",81.66%,"13,009",BN,Mohd Johari Baharum,,,PH,Amiruddin Hamzah,,,PAS,Norhafiza Fadzil,,,,,,,,,,,,,,
7,Kedah,Padang Terap,"46,644","38,923",83.45%,"1,099",BN,Mahdzir Khalid,,,PH,Mohd Khairizal Khazali,,,PAS,Mohamad Azam Abd Majid @ Abd Aziz,,,,,,,,,,,,,,
8,Kedah,Pokok Sena,"86,892","70,750",81.42%,"5,558",BN,Said Ali Said Rastan,,,PH,Mahfuz Omar,,,PAS,Muhamad Radhi Mat Din,,,,,,,,,,,,,,
9,Kedah,Alor Setar,"80,272","63,931",79.64%,"15,200",BN,Yoo Wei How,,,PH,Chan Ming Kai,,,PAS,Muhammad Aminur Shafiq Mohamad Abduh,,,,,,,,,,,,,,
10,Kedah,Kuala Kedah,"97,753","79,167",80.99%,"13,481",BN,Abdullah Hasnan Kamaruddin,,,PH,Azman Ismail,,,PAS,Muhammad Riduan Othman,,,,,,,,,,,,,,
11,Kedah,Pendang,"74,867","62,246",83.14%,"5,808",BN,Othman Abdul,,,PH,Wan Saifulruddin Wan Jan,,,PAS,Awang Hashim,,,Independent,Abdul Malik Manaf,,,,,,,,,,
12,Kedah,Jerai,"79,976","65,736",82.19%,539,BN,Jamil Khir Baharom,,,PH,Akramsyah Muammar Ubaidah Sanusi Junid,,,PAS,Sabri Azit,,,,,,,,,,,,,,
13,Kedah,Sik,"50,385","41,928",83.22%,"5,218",BN,Mansor Abd Rahman,,,PH,Azli Uda,,,PAS,Ahmad Tarmizi Sulaiman,,,,,,,,,,,,,,
14,Kedah,Merbok,"87,782","71,350",81.28%,"10,072",BN,Tajul Urus Mat Zain,,,PH,Nor Azrina Surip,,,PAS,Ahmad Fauzi Ramli,,,,,,,,,,,,,,
15,Kedah,Sungai Petani,"112,577","92,534",82.20%,"21,569",BN,Shahanim Mohamad Yusoff,,,PH,Johari Abdul,,,PAS,Shahril Long,,,PRM,Sritharan Pichathu,,,,,,,,,,
16,Kedah,Baling,"107,213","90,512",84.42%,"1,074",BN,Abdul Azeez Abdul Rahim,,,PH,Mohd Taufik Yaacob,,,PAS,Hassan Saad,,,,,,,,,,,,,,
17,Kedah,Padang Serai,"84,834","70,084",82.61%,"8,813",BN,Leong Yong Kong,,,PH,Karupaiya Mutusami,,,PAS,Muhamad Sobri Osman,,,,,,,,,,,,,,
18,Kedah,Kulim Bandar Baharu,"66,587","54,343",81.61%,"4,860",BN,Abd Aziz Sheikh Fadzir,,,PH,Saifuddin Nasution Ismail,,,PAS,Abdul Raman Abdul Razak,,,,,,,,,,,,,,
19,Kelantan,Tumpat,"110,924","86,585",78.06%,"17,500",BN,Wan Johani Wan Hussin,,,PH,Nordin Salleh,,,PAS,Che Abdullah Mat Nawi,,,,,,,,,,,,,,
20,Kelantan,Pengkalan Chepa,"75,384","59,387",78.78%,"13,232",BN,Zaluzi Sulaiman,,,PH,Mohamad Ibrahim,,,PAS,Ahmad Marzuk Shaary,,,,,,,,,,,,,,
21,Kelantan,Kota Bahru,"88,708","66,969",75.49%,"5,869",BN,Fikhran Hamshi Mohamad Fatmi,,,PH,Husam Musa,,,PAS,Takiyuddin Hassan,,,,,,,,,,,,,,
22,Kelantan,Pasir Mas,"71,222","53,551",75.19%,"13,075",BN,Nor Azmawi Ab Rahman @ Bawi,,,PH,Che Ujang Che Daud,,,PAS,Ahmad Fadhli Shaari,,,Independent,Ibrahim Ali,,,,,,,,,,
23,Kelantan,Rantau Panjang,"66,115","48,373",73.16%,"6,150",BN,Abdullah Mat Yassim,,,PH,Wan Shah Jihan Wan Din,,,PAS,Siti Zailah Mohd Yusoff,,,,,,,,,,,,,,
